subject,seed,threshold,band_budget,selector_contract_id,selector_contract,source_front_size,retained_front_size,trimmed_count,trimmed_ratio,retained_pathological_gt_050_ratio,source_front_right_censored,q_max_in_retained_front,eligible_candidate_count,solution_id,weighted_modularity,realised_relative_modularity_loss,imbalance,coupling,cohesion,cluster_count,max_cluster_ratio,distance_to_threshold,imbalance_lower_than_leiden,modularity_not_higher_than_leiden,source_front_path,source_front_sha256,source_candidate_label_path,source_candidate_label_sha256,selected_label_tuple
daytrader,0,0.3,0.05,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,100,54,46,0.45999999999999996,0.0,False,0.2660538093503631,1,seed0_solution054,0.26605380935036316,0.0,0.6592983097983453,0.5345940959409594,14.832683982683983,10,0.22641509433962265,0.07358490566037734,True,True,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_00/pareto_front.csv,64dd3c3b2430596e6bfa91403790572bf261769c03d0e1a737f2ac0b8736db63,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_00/pareto_labels.csv.xz,67695115343390d7beb60e5f90a6a59d77a5f73c99cb33e7e469d386a2c251f7,"[0,1,2,3,3,3,4,4,2,5,2,0,1,5,5,2,5,2,1,2,6,6,3,4,4,7,0,3,1,1,1,5,8,2,2,3,2,5,1,2,2,2,3,3,7,3,3,0,9,9,9,3,8]"
daytrader,0,0.35,0.05,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,100,75,25,0.25,0.0,False,0.2660538093503631,1,seed0_solution054,0.26605380935036316,0.0,0.6592983097983453,0.5345940959409594,14.832683982683983,10,0.22641509433962265,0.12358490566037733,True,True,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_00/pareto_front.csv,64dd3c3b2430596e6bfa91403790572bf261769c03d0e1a737f2ac0b8736db63,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_00/pareto_labels.csv.xz,67695115343390d7beb60e5f90a6a59d77a5f73c99cb33e7e469d386a2c251f7,"[0,1,2,3,3,3,4,4,2,5,2,0,1,5,5,2,5,2,1,2,6,6,3,4,4,7,0,3,1,1,1,5,8,2,2,3,2,5,1,2,2,2,3,3,7,3,3,0,9,9,9,3,8]"
daytrader,0,0.4,0.05,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,100,100,0,0.0,0.0,False,0.2660538093503631,1,seed0_solution054,0.26605380935036316,0.0,0.6592983097983453,0.5345940959409594,14.832683982683983,10,0.22641509433962265,0.17358490566037738,True,True,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_00/pareto_front.csv,64dd3c3b2430596e6bfa91403790572bf261769c03d0e1a737f2ac0b8736db63,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_00/pareto_labels.csv.xz,67695115343390d7beb60e5f90a6a59d77a5f73c99cb33e7e469d386a2c251f7,"[0,1,2,3,3,3,4,4,2,5,2,0,1,5,5,2,5,2,1,2,6,6,3,4,4,7,0,3,1,1,1,5,8,2,2,3,2,5,1,2,2,2,3,3,7,3,3,0,9,9,9,3,8]"
daytrader,0,0.45,0.05,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,100,100,0,0.0,0.0,True,0.2660538093503631,1,seed0_solution054,0.26605380935036316,0.0,0.6592983097983453,0.5345940959409594,14.832683982683983,10,0.22641509433962265,0.22358490566037736,True,True,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_00/pareto_front.csv,64dd3c3b2430596e6bfa91403790572bf261769c03d0e1a737f2ac0b8736db63,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_00/pareto_labels.csv.xz,67695115343390d7beb60e5f90a6a59d77a5f73c99cb33e7e469d386a2c251f7,"[0,1,2,3,3,3,4,4,2,5,2,0,1,5,5,2,5,2,1,2,6,6,3,4,4,7,0,3,1,1,1,5,8,2,2,3,2,5,1,2,2,2,3,3,7,3,3,0,9,9,9,3,8]"
daytrader,0,0.5,0.05,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,100,100,0,0.0,0.0,True,0.2660538093503631,1,seed0_solution054,0.26605380935036316,0.0,0.6592983097983453,0.5345940959409594,14.832683982683983,10,0.22641509433962265,0.27358490566037735,True,True,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_00/pareto_front.csv,64dd3c3b2430596e6bfa91403790572bf261769c03d0e1a737f2ac0b8736db63,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_00/pareto_labels.csv.xz,67695115343390d7beb60e5f90a6a59d77a5f73c99cb33e7e469d386a2c251f7,"[0,1,2,3,3,3,4,4,2,5,2,0,1,5,5,2,5,2,1,2,6,6,3,4,4,7,0,3,1,1,1,5,8,2,2,3,2,5,1,2,2,2,3,3,7,3,3,0,9,9,9,3,8]"
daytrader,0,0.6,0.05,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,100,100,0,0.0,0.0,True,0.2660538093503631,1,seed0_solution054,0.26605380935036316,0.0,0.6592983097983453,0.5345940959409594,14.832683982683983,10,0.22641509433962265,0.37358490566037733,True,True,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_00/pareto_front.csv,64dd3c3b2430596e6bfa91403790572bf261769c03d0e1a737f2ac0b8736db63,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_00/pareto_labels.csv.xz,67695115343390d7beb60e5f90a6a59d77a5f73c99cb33e7e469d386a2c251f7,"[0,1,2,3,3,3,4,4,2,5,2,0,1,5,5,2,5,2,1,2,6,6,3,4,4,7,0,3,1,1,1,5,8,2,2,3,2,5,1,2,2,2,3,3,7,3,3,0,9,9,9,3,8]"
daytrader,1,0.3,0.05,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,97,35,62,0.6391752577319587,0.0,False,0.1698876479078443,1,seed1_solution064,0.16988764790784439,0.0,0.489839810782912,0.6217712177121771,16.69781946448613,9,0.20754716981132076,0.09245283018867922,True,True,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_01/pareto_front.csv,0e93f0ba0cd1818dc69b9b01c616ae8fc15c94035778834fd10a1e0339968d12,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_01/pareto_labels.csv.xz,a3fc9c815131e471b73a114bd0bd59bd7e9a38dc8471eaca904cfd9dcfed0045,"[0,0,1,1,2,3,4,4,5,3,0,1,2,0,6,7,2,5,6,6,1,1,3,4,4,1,5,5,0,0,1,0,1,6,7,7,5,5,4,5,7,2,0,6,1,4,4,0,8,7,0,6,0]"
daytrader,1,0.35,0.05,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,97,67,30,0.30927835051546393,0.0,False,0.1698876479078443,1,seed1_solution064,0.16988764790784439,0.0,0.489839810782912,0.6217712177121771,16.69781946448613,9,0.20754716981132076,0.1424528301886792,True,True,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_01/pareto_front.csv,0e93f0ba0cd1818dc69b9b01c616ae8fc15c94035778834fd10a1e0339968d12,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_01/pareto_labels.csv.xz,a3fc9c815131e471b73a114bd0bd59bd7e9a38dc8471eaca904cfd9dcfed0045,"[0,0,1,1,2,3,4,4,5,3,0,1,2,0,6,7,2,5,6,6,1,1,3,4,4,1,5,5,0,0,1,0,1,6,7,7,5,5,4,5,7,2,0,6,1,4,4,0,8,7,0,6,0]"
daytrader,1,0.4,0.05,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,97,97,0,0.0,0.0,False,0.1698876479078443,1,seed1_solution064,0.16988764790784439,0.0,0.489839810782912,0.6217712177121771,16.69781946448613,9,0.20754716981132076,0.19245283018867926,True,True,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_01/pareto_front.csv,0e93f0ba0cd1818dc69b9b01c616ae8fc15c94035778834fd10a1e0339968d12,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_01/pareto_labels.csv.xz,a3fc9c815131e471b73a114bd0bd59bd7e9a38dc8471eaca904cfd9dcfed0045,"[0,0,1,1,2,3,4,4,5,3,0,1,2,0,6,7,2,5,6,6,1,1,3,4,4,1,5,5,0,0,1,0,1,6,7,7,5,5,4,5,7,2,0,6,1,4,4,0,8,7,0,6,0]"
daytrader,1,0.45,0.05,stage2-raw-structure-only-modularity-band-v1,feasible retained Pareto candidates; fallback to all retained candidates only when feasible is empty; 5% relative weighted-modularity-loss band with 1e-12 tolerance; minimum imbalance; maximum weighted modularity; minimum coupling; solution_id; canonical label tuple,97,97,0,0.0,0.0,True,0.1698876479078443,1,seed1_solution064,0.16988764790784439,0.0,0.489839810782912,0.6217712177121771,16.69781946448613,9,0.20754716981132076,0.24245283018867925,True,True,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_01/pareto_front.csv,0e93f0ba0cd1818dc69b9b01c616ae8fc15c94035778834fd10a1e0339968d12,results/daytrader/03_stage2_nsga/robustness_final_30seeds/seed_01/pareto_labels.csv.xz,a3fc9c815131e471b73a114bd0bd59bd7e9a38dc8471eaca904cfd9dcfed0045,"[0,0,1,1,2,3,4,4,5,3,0,1,2,0,6,7,2,5,6,6,1,1,3,4,4,1,5,5,0,0,1,0,1,6,7,7,5,5,4,5,7,2,0,6,1,4,4,0,8,7,0,6,0]"
