subject,seed,solution_id,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,max_cluster_size,min_cluster_size,max_cluster_ratio,singleton_ratio,cluster_size_cv,cluster_size_distribution
easymock,0,seed0_solution000,0.2610144945960424,0.8791848617176128,7.27710843373494,19,5.526315789473684,42,1,0.4,0.11428571428571428,1.924328077213663,"{""1"": 12, ""11"": 1, ""2"": 3, ""28"": 1, ""42"": 1, ""6"": 1}"
easymock,0,seed0_solution001,0.2592929832255924,0.87627365356623,7.08235294117647,19,5.526315789473684,42,1,0.4,0.09523809523809523,1.8972709843901094,"{""1"": 10, ""11"": 1, ""2"": 5, ""27"": 1, ""42"": 1, ""5"": 1}"
easymock,0,seed0_solution002,0.25741017948212636,0.8740902474526928,6.942196531791907,19,5.526315789473684,42,1,0.4,0.08571428571428572,1.874425081926483,"{""1"": 9, ""11"": 1, ""2"": 6, ""26"": 1, ""42"": 1, ""5"": 1}"
easymock,0,seed0_solution003,0.25859219567386754,0.8704512372634643,6.719101123595506,19,5.526315789473684,41,1,0.3904761904761905,0.0761904761904762,1.8372808459866659,"{""1"": 8, ""11"": 1, ""2"": 7, ""26"": 1, ""41"": 1, ""5"": 1}"
easymock,0,seed0_solution004,0.2538270522004615,0.8609898107714702,6.193717277486911,18,5.833333333333333,41,1,0.3904761904761905,0.0761904761904762,1.7909067364816933,"{""1"": 8, ""10"": 1, ""2"": 4, ""27"": 1, ""3"": 2, ""41"": 1, ""5"": 1}"
easymock,0,seed0_solution005,0.2532804061283679,0.8602620087336245,6.15625,18,5.833333333333333,41,1,0.3904761904761905,0.06666666666666667,1.7679689719319978,"{""1"": 7, ""10"": 1, ""2"": 5, ""26"": 1, ""3"": 2, ""41"": 1, ""5"": 1}"
easymock,0,seed0_solution006,0.24005363699734558,0.8529839883551674,5.801980198019802,17,6.176470588235294,42,1,0.4,0.05714285714285714,1.6078040967746787,"{""1"": 6, ""12"": 1, ""17"": 1, ""2"": 4, ""3"": 1, ""42"": 1, ""5"": 1, ""6"": 2}"
easymock,0,seed0_solution007,0.24433490335170263,0.8435225618631732,5.390697674418605,16,6.5625,40,1,0.38095238095238093,0.047619047619047616,1.6376245170847057,"{""1"": 5, ""2"": 4, ""28"": 1, ""3"": 2, ""40"": 1, ""5"": 2, ""8"": 1}"
easymock,0,seed0_solution008,0.21466531700175215,0.8333333333333334,5.0,17,6.176470588235294,42,1,0.4,0.047619047619047616,1.7395492939355715,"{""1"": 5, ""2"": 5, ""27"": 1, ""3"": 1, ""4"": 3, ""42"": 1, ""6"": 1}"
easymock,0,seed0_solution009,0.21338318830262198,0.8216885007278021,4.608163265306122,17,6.176470588235294,41,1,0.3904761904761905,0.047619047619047616,1.5768161612404936,"{""1"": 5, ""19"": 1, ""2"": 5, ""3"": 1, ""41"": 1, ""6"": 2, ""7"": 1, ""8"": 1}"
easymock,0,seed0_solution010,0.20271749839502184,0.8202328966521106,4.562753036437247,16,6.5625,42,1,0.4,0.0380952380952381,1.6499845391978183,"{""1"": 4, ""2"": 2, ""26"": 1, ""3"": 5, ""4"": 2, ""42"": 1, ""6"": 1}"
