subject,seed,solution_id,coupling,cohesion,imbalance,pymoo_f0_coupling,pymoo_f1_negative_cohesion,pymoo_f2_imbalance,feasible,is_injected_seed,injected_seed_name,injected_seed_category,label_vector,weighted_modularity,cluster_count,max_cluster_ratio,singleton_ratio,cluster_size_cv
daytrader,11,seed11_solution000,0.17435424354243542,2.5542606516290727,1.643135174119037,0.17435424354243542,-2.5542606516290727,1.643135174119037,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 4, 5, 0, 0, 0, 0, 0, 5, 6, 1, 1, 0, 7, 7, 0, 8, 9, 0, 0, 0, 0, 10, 6, 11, 12, 6, 6, 6, 6, 6, 6, 13, 14, 0, 15, 15, 16, 17, 17, 17, 0, 18]",0.1005603137212184,19,0.39622641509433965,0.22641509433962265,1.643135174119037
daytrader,11,seed11_solution001,0.17619926199261993,3.448370927318296,1.5972118818919478,0.17619926199261993,-3.448370927318296,1.5972118818919478,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 4, 5, 0, 0, 0, 0, 0, 6, 7, 1, 1, 0, 8, 8, 0, 9, 10, 0, 0, 0, 0, 11, 7, 12, 13, 7, 14, 14, 7, 7, 7, 15, 2, 0, 16, 16, 4, 17, 17, 17, 0, 18]",0.1004136185849866,19,0.39622641509433965,0.18867924528301888,1.5972118818919478
daytrader,11,seed11_solution002,0.18173431734317344,2.8344537815126047,1.491879049114777,0.18173431734317344,-2.8344537815126047,1.491879049114777,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 4, 5, 0, 0, 0, 0, 0, 6, 7, 1, 1, 0, 8, 8, 0, 9, 10, 0, 0, 0, 0, 11, 7, 12, 13, 7, 14, 14, 7, 7, 7, 12, 2, 0, 15, 15, 4, 14, 14, 16, 0, 16]",0.09479558846557103,17,0.39622641509433965,0.1320754716981132,1.491879049114777
daytrader,11,seed11_solution003,0.18173431734317344,2.8032738095238097,1.4348309186245394,0.18173431734317344,-2.8032738095238097,1.4348309186245394,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 4, 5, 0, 0, 0, 0, 0, 6, 7, 1, 1, 0, 8, 8, 0, 9, 10, 0, 0, 0, 0, 11, 7, 11, 12, 7, 9, 9, 7, 7, 7, 13, 2, 0, 12, 14, 9, 15, 13, 13, 0, 15]",0.09489132858348877,16,0.39622641509433965,0.11320754716981132,1.4348309186245394
daytrader,11,seed11_solution004,0.18773062730627307,3.4132832080200504,1.5801816389592531,0.18773062730627307,-3.4132832080200504,1.5801816389592531,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 4, 5, 0, 0, 0, 0, 0, 6, 7, 1, 1, 0, 8, 8, 0, 9, 10, 0, 0, 0, 0, 11, 7, 12, 13, 7, 14, 14, 7, 11, 7, 15, 2, 0, 16, 16, 4, 17, 17, 17, 0, 18]",0.08947265066515982,19,0.39622641509433965,0.16981132075471697,1.5801816389592531
daytrader,11,seed11_solution005,0.19095940959409594,3.3088596491228075,1.5662650437442742,0.19095940959409594,-3.3088596491228075,1.5662650437442742,True,False,,,"[0, 0, 0, 1, 2, 0, 0, 0, 3, 0, 4, 5, 6, 0, 0, 0, 0, 0, 7, 8, 2, 2, 0, 9, 9, 0, 1, 5, 0, 0, 0, 0, 10, 8, 11, 12, 8, 13, 13, 8, 8, 8, 14, 15, 0, 16, 16, 17, 18, 18, 18, 0, 19]",0.09816798093027058,20,0.37735849056603776,0.20754716981132076,1.5662650437442742
daytrader,11,seed11_solution006,0.19418819188191883,3.9907738095238092,1.4268692498531796,0.19418819188191883,-3.9907738095238092,1.4268692498531796,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 3, 4, 4, 0, 0, 0, 0, 0, 5, 5, 6, 6, 0, 7, 7, 0, 8, 4, 0, 0, 0, 0, 9, 5, 10, 11, 5, 11, 11, 5, 8, 5, 12, 1, 0, 10, 13, 14, 15, 12, 12, 0, 15]",0.08289041118040338,16,0.39622641509433965,0.09433962264150944,1.4268692498531796
daytrader,11,seed11_solution007,0.19649446494464945,2.369642857142857,1.4067679567063163,0.19649446494464945,-2.369642857142857,1.4067679567063163,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 2, 3, 0, 2, 4, 5, 0, 0, 0, 0, 0, 6, 5, 1, 1, 0, 7, 7, 0, 5, 8, 0, 0, 0, 0, 9, 10, 11, 12, 13, 9, 9, 13, 13, 7, 5, 0, 0, 11, 14, 4, 12, 15, 15, 0, 12]",0.08704010702468654,16,0.39622641509433965,0.09433962264150944,1.4067679567063163
daytrader,11,seed11_solution008,0.2061808118081181,1.2446886446886447,1.2780146582548,0.2061808118081181,-1.2446886446886447,1.2780146582548,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 2, 3, 0, 1, 3, 4, 0, 0, 0, 0, 0, 3, 3, 1, 5, 0, 6, 6, 0, 1, 1, 0, 0, 0, 0, 7, 6, 2, 3, 8, 9, 9, 6, 6, 7, 9, 0, 0, 2, 5, 3, 10, 11, 6, 0, 12]",0.07619402819950719,13,0.39622641509433965,0.09433962264150944,1.2780146582548
daytrader,11,seed11_solution009,0.20756457564575645,3.319047619047619,1.3704920601762172,0.20756457564575645,-3.319047619047619,1.3704920601762172,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 3, 4, 0, 0, 0, 0, 0, 5, 6, 7, 7, 0, 5, 6, 0, 1, 3, 0, 0, 0, 0, 8, 6, 9, 10, 6, 11, 5, 5, 6, 6, 3, 12, 0, 13, 13, 10, 14, 8, 14, 0, 11]",0.06891554530167077,15,0.39622641509433965,0.07547169811320754,1.3704920601762172
daytrader,11,seed11_solution010,0.20940959409594095,1.4003968253968253,1.1853802678864203,0.20940959409594095,-1.4003968253968253,1.1853802678864203,True,False,,,"[0, 0, 0, 1, 1, 0, 0, 0, 2, 0, 1, 3, 4, 0, 0, 0, 0, 0, 5, 4, 1, 1, 0, 6, 6, 0, 7, 1, 0, 0, 0, 0, 6, 5, 8, 7, 8, 9, 6, 8, 6, 5, 4, 0, 0, 10, 4, 3, 7, 11, 11, 0, 7]",0.06395450514698875,12,0.39622641509433965,0.05660377358490566,1.1853802678864203
daytrader,11,seed11_solution011,0.21309963099630996,2.06007326007326,1.2300381896608772,0.21309963099630996,-2.06007326007326,1.2300381896608772,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 2, 3, 0, 1, 3, 4, 0, 0, 0, 0, 0, 4, 5, 1, 4, 0, 6, 6, 0, 1, 1, 0, 0, 0, 0, 3, 7, 2, 3, 8, 9, 9, 6, 10, 10, 8, 0, 0, 11, 5, 8, 12, 7, 4, 0, 9]",0.07049642740431103,13,0.39622641509433965,0.03773584905660377,1.2300381896608772
daytrader,11,seed11_solution012,0.2140221402214022,4.25033738191633,1.180112888385803,0.2140221402214022,-4.25033738191633,1.180112888385803,True,False,,,"[0, 0, 0, 0, 1, 0, 0, 2, 1, 0, 1, 3, 4, 0, 0, 0, 0, 0, 4, 5, 6, 6, 0, 7, 7, 0, 1, 1, 0, 0, 0, 0, 3, 7, 8, 3, 9, 10, 10, 7, 7, 2, 9, 5, 0, 11, 5, 9, 12, 7, 4, 0, 2]",0.08464660407674199,13,0.37735849056603776,0.05660377358490566,1.180112888385803
